,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
477,Justin Williams,20192020,CAR,R,R,20,8,3,11,2,6,0.55,6,8,2,3,0,0,0,2,60,13.3,13:37,30
478,Austin Wagner,20192020,LAK,L,L,65,6,5,11,-5,39,0.17,6,11,0,0,0,0,0,0,124,4.8,11:45,33.3
479,Brad Richardson,20192020,ARI,L,R,59,6,5,11,1,20,0.19,5,9,0,0,1,2,0,3,76,7.9,13:39,54
480,Dylan Gambrell,20192020,SJS,R,C,50,5,6,11,-8,17,0.22,5,10,0,1,0,0,0,1,43,11.6,11:57,46
481,Max Comtois,20192020,ANA,L,L,29,5,6,11,-4,24,0.38,3,8,2,3,0,0,0,0,32,15.6,13:58,18.8
482,Dante Fabbro,20192020,NSH,R,D,64,5,6,11,-7,38,0.17,4,10,1,1,0,0,0,0,92,5.4,19:02,--
483,Zack Smith,20192020,CHI,L,C,50,4,7,11,2,29,0.22,3,9,0,0,1,2,0,1,43,9.3,11:47,46.3
484,Travis Dermott,20192020,TOR,L,D,56,4,7,11,14,37,0.2,4,11,0,0,0,0,0,1,65,6.2,17:19,--
485,Dominic Toninato,20192020,FLA,L,C,46,4,7,11,4,37,0.24,4,11,0,0,0,0,0,0,38,10.5,11:09,47.1
486,Victor Mete,20192020,MTL,L,D,51,4,7,11,5,20,0.22,4,10,0,1,0,0,0,1,57,7,16:00,--
487,Mike Green,20192020,DET,R,D,50,3,8,11,-34,32,0.22,2,7,1,4,0,0,0,1,76,4,20:53,--
488,Brendan Leipsic,20192020,WSH,L,L,61,3,8,11,3,13,0.18,3,10,0,1,0,0,0,1,49,6.1,9:10,42.9
489,Jack Johnson,20192020,PIT,L,D,67,3,8,11,-1,26,0.16,2,10,0,0,1,1,0,0,63,4.8,19:28,--
490,Mario Ferraro,20192020,SJS,L,D,61,2,9,11,-15,30,0.18,2,10,0,0,0,1,0,0,63,3.2,15:53,--
491,Marc Staal,20192020,NYR,L,D,52,2,9,11,5,16,0.21,2,11,0,0,0,0,0,0,46,4.4,17:39,--
492,Jacob Larsson,20192020,ANA,L,D,60,2,9,11,-9,12,0.18,2,11,0,0,0,0,0,0,58,3.5,16:09,--
493,Johnny Boychuk,20192020,NYI,R,D,64,2,9,11,-11,14,0.17,1,10,1,1,0,0,0,0,96,2.1,17:17,--
494,Nicolas Hague,20192020,VGK,L,D,38,1,10,11,0,32,0.29,0,7,1,4,0,0,0,0,54,1.9,16:05,--
495,Colin Miller,20192020,BUF,R,D,51,1,10,11,-9,22,0.22,1,8,0,3,0,0,1,1,79,1.3,17:08,--
496,David Savard,20192020,CBJ,R,D,68,0,11,11,-3,35,0.16,0,9,0,2,0,0,0,0,97,0,20:41,--
497,Jason Demers,20192020,ARI,R,D,50,0,11,11,5,25,0.22,0,10,0,0,0,1,0,0,53,0,20:30,--
498,Mackenzie MacEachern,20192020,STL,L,L,51,7,3,10,2,33,0.2,7,10,0,0,0,0,0,2,63,11.1,8:57,25
499,Trevor Moore,20192020,TOR,L,C,42,6,4,10,-4,6,0.24,6,9,0,0,0,1,0,0,60,10,12:54,28.6
500,Jujhar Khaira,20192020,EDM,L,L,64,6,4,10,-19,38,0.16,6,10,0,0,0,0,0,1,69,8.7,12:32,51.5
501,Chris Wagner,20192020,BOS,R,R,67,6,4,10,-8,47,0.15,5,9,0,0,1,1,0,0,78,7.7,12:26,46.2
502,Kevin Stenlund,20192020,CBJ,R,C,32,6,4,10,2,8,0.31,3,5,3,5,0,0,0,1,57,10.5,13:59,40.3
503,Evan Rodrigues,20192020,BUF,R,C,45,6,4,10,-8,14,0.22,5,9,1,1,0,0,0,1,75,8,11:17,46.7
504,Curtis Lazar,20192020,BUF,R,C,38,5,5,10,-3,9,0.26,5,9,0,0,0,1,0,0,33,15.2,11:50,51.3
505,Nicolas Roy,20192020,VGK,R,C,28,5,5,10,3,8,0.36,4,9,1,1,0,0,0,1,42,11.9,11:26,48.2
506,Gaetan Haas,20192020,EDM,R,C,58,5,5,10,-1,6,0.17,5,9,0,1,0,0,0,0,54,9.3,9:42,42.2
507,Tobias Rieder,20192020,CGY,L,C,55,4,6,10,-12,6,0.18,3,8,0,0,1,2,0,0,77,5.2,11:05,20.8
508,Paul Byron,20192020,MTL,L,L,29,4,6,10,5,4,0.34,3,9,0,0,1,1,0,0,29,13.8,14:20,16.7
509,Adam Lowry,20192020,WPG,L,C,49,4,6,10,-4,23,0.2,3,8,0,0,1,2,0,1,68,5.9,14:58,53.8
510,Nathan Gerbe,20192020,CBJ,L,C,30,4,6,10,-7,22,0.33,4,10,0,0,0,0,0,0,55,7.3,13:45,50
511,Michael Dal Colle,20192020,NYI,L,L,53,4,6,10,-8,12,0.19,4,10,0,0,0,0,0,0,59,6.8,11:48,71.4
512,Vladimir Tarasenko,20192020,STL,L,R,10,3,7,10,-2,0,1,2,7,1,3,0,0,0,0,26,11.5,16:11,--
513,Jayce Hawryluk,20192020,FLA,R,C,26,3,7,10,1,16,0.38,3,10,0,0,0,0,0,0,26,11.5,11:06,33.3
514,Colin Blackwell,20192020,NSH,R,C,27,3,7,10,7,10,0.37,3,10,0,0,0,0,0,0,31,9.7,10:57,56.1
515,Travis Boyd,20192020,WSH,R,C,24,3,7,10,9,2,0.42,3,9,0,1,0,0,0,0,26,11.5,11:45,42
516,Jamie Oleksiak,20192020,DAL,L,D,69,3,7,10,-6,41,0.14,3,10,0,0,0,0,0,1,76,4,15:49,--
517,Andrew Shaw,20192020,CHI,R,R,26,3,7,10,-4,33,0.38,2,8,1,2,0,0,0,0,46,6.5,14:27,45.2
518,Drake Batherson,20192020,OTT,R,R,23,3,7,10,-12,13,0.43,2,4,1,6,0,0,0,0,32,9.4,15:34,57.1
519,Luca Sbisa,20192020,WPG,L,D,44,2,8,10,1,37,0.23,2,10,0,0,0,0,0,0,49,4.1,17:56,--
520,Dmitry Kulikov,20192020,WPG,L,D,51,2,8,10,-4,32,0.2,2,10,0,0,0,0,0,1,54,3.7,20:01,--
521,Slater Koekkoek,20192020,CHI,L,D,42,1,9,10,3,42,0.24,1,10,0,0,0,0,0,1,47,2.1,16:45,--
522,Dylan DeMelo,20192020,OTT,R,D,59,0,10,10,4,37,0.17,0,8,0,0,0,2,0,0,74,0,20:09,--
523,Stefan Noesen,20192020,PIT,R,R,40,7,2,9,-1,32,0.23,6,8,1,1,0,0,0,2,67,10.5,11:32,38.9
524,Luke Glendening,20192020,DET,R,C,60,6,3,9,-29,14,0.15,5,8,0,0,1,1,0,1,76,7.9,15:21,56.1
525,Christian Fischer,20192020,ARI,R,R,56,6,3,9,2,16,0.16,6,9,0,0,0,0,0,1,83,7.2,11:01,27.3
526,Greg McKegg,20192020,NYR,L,C,53,5,4,9,-2,17,0.17,4,7,0,0,1,2,0,0,40,12.5,9:34,49.3
527,Caleb Jones,20192020,EDM,L,D,43,4,5,9,-1,10,0.21,4,8,0,1,0,0,0,1,38,10.5,14:08,--
528,Jordan Kyrou,20192020,STL,R,C,28,4,5,9,1,8,0.32,4,8,0,1,0,0,0,0,39,10.3,10:54,40
529,Casey Mittelstadt,20192020,BUF,L,C,31,4,5,9,-5,2,0.29,3,7,1,2,0,0,0,1,34,11.8,12:46,46.5
530,Erik Gudbranson,20192020,PIT,R,D,51,4,5,9,0,95,0.18,4,8,0,0,0,1,0,0,78,5.1,19:22,--
531,Frans Nielsen,20192020,DET,L,C,60,4,5,9,-13,8,0.15,3,5,0,2,1,2,0,0,86,4.7,13:41,46.1
532,Kevin Rooney,20192020,NJD,L,C,49,4,5,9,8,20,0.18,2,6,0,0,2,3,0,0,59,6.8,11:44,47
533,Dmytro Timashov,20192020,TOR,L,L,44,4,5,9,1,16,0.2,4,9,0,0,0,0,0,1,37,10.8,8:32,--
534,Joakim Nygard,20192020,EDM,L,L,33,3,6,9,0,8,0.27,2,8,1,1,0,0,0,0,39,7.7,10:41,50
535,Markus Nutivaara,20192020,CBJ,L,D,37,3,6,9,2,4,0.24,3,8,0,1,0,0,0,0,47,6.4,15:55,--
536,Jonas Siegenthaler,20192020,WSH,L,D,64,2,7,9,11,43,0.14,2,9,0,0,0,0,0,1,49,4.1,15:44,--
537,Brayden McNabb,20192020,VGK,L,D,71,2,7,9,1,40,0.13,1,8,0,0,1,1,0,0,73,2.7,20:01,--
538,Jacob de la Rose,20192020,DET,L,L,50,2,7,9,2,10,0.18,2,9,0,0,0,0,0,0,46,4.4,10:43,43.1
539,Radim Simek,20192020,SJS,L,D,48,2,7,9,-13,14,0.19,2,9,0,0,0,0,0,0,40,5,17:11,--
540,Taylor Fedun,20192020,DAL,R,D,27,2,7,9,3,8,0.33,2,9,0,0,0,0,0,0,40,5,13:45,--
541,Ryan Murray,20192020,CBJ,L,D,27,2,7,9,-9,4,0.33,2,7,0,2,0,0,0,0,32,6.3,19:57,--
542,Adam Pelech,20192020,NYI,L,D,38,1,8,9,4,20,0.24,1,7,0,0,0,2,0,0,49,2,21:08,--
543,Jay Bouwmeester,20192020,STL,L,D,56,1,8,9,6,20,0.16,1,8,0,0,0,1,0,0,53,1.9,21:34,--
544,Patrik Nemeth,20192020,DET,L,D,64,1,8,9,-10,28,0.14,1,8,0,0,0,1,0,1,89,1.1,22:02,--
545,Josh Manson,20192020,ANA,R,D,50,1,8,9,-10,37,0.18,1,8,0,0,0,1,0,0,64,1.6,20:38,--
546,Kris Russell,20192020,EDM,L,D,55,0,9,9,0,14,0.16,0,8,0,0,0,1,0,0,45,0,16:47,--
547,Jesperi Kotkaniemi,20192020,MTL,L,C,36,6,2,8,-11,23,0.22,5,6,1,2,0,0,0,0,55,10.9,13:00,42.8
548,Martin Frk,20192020,LAK,R,R,17,6,2,8,-1,4,0.47,5,7,1,1,0,0,0,1,26,23.1,13:50,--
549,Matt Martin,20192020,NYI,L,L,55,5,3,8,-1,40,0.15,5,8,0,0,0,0,0,2,49,10.2,10:25,42.9
550,Mason Appleton,20192020,WPG,R,C,46,5,3,8,-9,20,0.17,4,7,0,0,1,1,0,0,55,9.1,11:10,38.5
551,Bobby Ryan,20192020,OTT,R,R,24,5,3,8,3,22,0.33,5,8,0,0,0,0,0,0,43,11.6,13:31,60
552,Brendan Guhle,20192020,ANA,L,D,30,4,4,8,-2,10,0.27,4,8,0,0,0,0,0,1,39,10.3,17:04,--
553,Tyler Motte,20192020,VAN,L,C,34,4,4,8,-10,10,0.24,4,8,0,0,0,0,0,0,38,10.5,13:07,42.1
554,Josh Brown,20192020,FLA,R,D,56,3,5,8,1,39,0.14,3,8,0,0,0,0,0,1,48,6.3,13:25,--
555,Brendan Smith,20192020,NYR,L,D,62,3,5,8,-12,71,0.13,2,6,0,0,1,2,0,0,45,6.7,11:06,100
556,Kurtis MacDermid,20192020,LAK,L,D,45,3,5,8,-9,47,0.18,3,7,0,0,0,1,0,0,51,5.9,13:43,--
557,Andrej Sekera,20192020,DAL,L,D,57,2,6,8,9,14,0.14,1,7,0,0,1,1,0,0,63,3.2,18:00,--
558,Jay Beagle,20192020,VAN,R,C,55,2,6,8,-9,38,0.15,1,6,0,0,1,2,0,1,49,4.1,12:34,59.1
559,Dennis Cholowski,20192020,DET,L,D,36,2,6,8,-26,6,0.22,1,3,1,5,0,0,1,1,51,3.9,19:13,--
560,Scott Harrington,20192020,CBJ,L,D,39,1,7,8,-3,16,0.21,1,8,0,0,0,0,0,0,37,2.7,13:57,--
561,Matt Benning,20192020,EDM,R,D,43,1,7,8,8,15,0.19,1,8,0,0,0,0,0,0,38,2.6,13:14,--
562,Cody Ceci,20192020,TOR,R,D,56,1,7,8,7,20,0.14,1,8,0,0,0,0,0,1,48,2.1,20:32,--
563,Brian Dumoulin,20192020,PIT,L,D,28,1,7,8,17,10,0.29,0,6,0,1,1,1,0,0,35,2.9,21:03,--
564,Rasmus Sandin,20192020,TOR,L,D,28,1,7,8,-7,10,0.29,1,6,0,2,0,0,0,1,22,4.6,14:19,--
565,Trevor van Riemsdyk,20192020,CAR,R,D,49,1,7,8,-7,10,0.16,1,8,0,0,0,0,0,0,58,1.7,14:52,--
566,Nathan Beaulieu,20192020,WPG,L,D,38,1,7,8,15,29,0.21,1,8,0,0,0,0,0,1,38,2.6,17:00,--
567,Logan Brown,20192020,OTT,L,C,23,1,7,8,0,4,0.35,0,5,1,3,0,0,0,1,23,4.4,11:45,41
568,Vladislav Kamenev,20192020,COL,L,C,38,1,7,8,-2,8,0.21,1,6,0,2,0,0,0,1,32,3.1,8:59,53.3
569,Nick Jensen,20192020,WSH,R,D,68,0,8,8,1,13,0.12,0,7,0,1,0,0,0,0,61,0,17:49,--
570,Dan Hamhuis,20192020,NSH,L,D,60,0,8,8,6,35,0.13,0,8,0,0,0,0,0,0,44,0,14:31,--
571,Anthony Bitetto,20192020,WPG,L,D,51,0,8,8,3,32,0.16,0,7,0,0,0,1,0,0,54,0,15:10,--
572,Mark Jankowski,20192020,CGY,L,C,56,5,2,7,-12,14,0.13,5,7,0,0,0,0,0,0,38,13.2,11:06,44.7
573,Mathieu Joseph,20192020,TBL,L,R,37,4,3,7,-2,16,0.19,4,6,0,0,0,1,0,0,35,11.4,11:31,28.6
574,Joakim Nordstrom,20192020,BOS,L,C,48,4,3,7,-6,17,0.15,4,7,0,0,0,0,0,0,49,8.2,12:06,14.3
575,Cal Clutterbuck,20192020,NYI,R,R,37,3,4,7,6,22,0.19,2,5,0,0,1,2,0,0,35,8.6,13:25,44.4
576,Gabriel Vilardi,20192020,LAK,R,C,10,3,4,7,0,4,0.7,2,5,1,2,0,0,0,0,19,15.8,12:51,53.3
577,Joel Kellman,20192020,SJS,L,C,31,3,4,7,-1,4,0.23,3,6,0,0,0,1,0,1,31,9.7,11:35,47.1
578,Carl Gunnarsson,20192020,STL,L,D,36,2,5,7,8,16,0.19,2,6,0,0,0,1,0,0,31,6.5,15:47,--
579,Oliver Kylington,20192020,CGY,L,D,48,2,5,7,-6,16,0.15,2,7,0,0,0,0,0,0,37,5.4,13:42,--
580,Mirco Mueller,20192020,NJD,L,D,50,2,5,7,-13,23,0.14,2,6,0,1,0,0,0,0,29,6.9,17:39,--
581,Morgan Frost,20192020,PHI,L,C,20,2,5,7,-3,4,0.35,1,6,0,0,1,1,0,0,31,6.5,13:41,47.3
582,Jansen Harkins,20192020,WPG,L,C,29,2,5,7,-2,5,0.24,2,7,0,0,0,0,0,0,29,6.9,10:37,0
583,Taro Hirose,20192020,DET,L,L,26,2,5,7,-12,6,0.27,2,2,0,5,0,0,0,0,21,9.5,12:33,0
584,Michael Stone,20192020,CGY,R,D,33,2,5,7,-5,16,0.21,2,7,0,0,0,0,0,0,57,3.5,16:19,--
585,Jon Merrill,20192020,VGK,L,D,49,2,5,7,9,32,0.14,2,6,0,0,0,1,0,0,37,5.4,18:09,--
586,Antti Suomela,20192020,SJS,L,C,20,1,6,7,4,4,0.35,1,7,0,0,0,0,0,0,18,5.6,9:41,54.8
587,Jordie Benn,20192020,VAN,L,D,44,1,6,7,-7,17,0.16,1,7,0,0,0,0,0,1,58,1.7,16:17,--
588,Juuso Riikola,20192020,PIT,L,D,36,1,6,7,3,6,0.19,1,5,0,2,0,0,0,0,38,2.6,13:53,--
589,Jan Rutta,20192020,TBL,R,D,33,1,6,7,6,14,0.21,1,7,0,0,0,0,0,0,43,2.3,15:33,--
590,Zach Bogosian,20192020,BUF,R,D,27,1,6,7,0,22,0.26,1,6,0,0,0,1,0,0,29,3.5,16:38,--
591,Noah Dobson,20192020,NYI,R,D,34,1,6,7,-1,8,0.21,1,6,0,1,0,0,0,0,37,2.7,13:17,--
592,Trevor Daley,20192020,DET,L,D,43,0,7,7,-22,20,0.16,0,5,0,2,0,0,0,0,37,0,15:39,--
593,Brett Kulak,20192020,MTL,L,D,56,0,7,7,-1,12,0.13,0,7,0,0,0,0,0,0,101,0,17:08,--
594,Zack MacEwen,20192020,VAN,R,C,17,5,1,6,6,20,0.35,5,6,0,0,0,0,0,0,17,29.4,9:37,50
595,Tim Schaller,20192020,VAN,L,L,53,5,1,6,-14,14,0.11,4,5,0,0,1,1,0,0,49,10.2,11:34,38.9
596,Joey Anderson,20192020,NJD,R,R,18,4,2,6,1,2,0.33,4,6,0,0,0,0,0,0,21,19.1,13:13,50
597,Justin Dowling,20192020,DAL,L,C,29,3,3,6,-3,8,0.21,3,6,0,0,0,0,0,1,29,10.3,10:57,43.8
598,Nicholas Shore,20192020,TOR,R,C,63,3,3,6,1,20,0.1,3,6,0,0,0,0,0,0,45,6.7,9:11,55.3
599,Mitchell Stephens,20192020,TBL,R,C,38,3,3,6,-9,10,0.16,3,6,0,0,0,0,0,0,43,7,10:47,52.5
600,Par Lindholm,20192020,BOS,L,C,40,3,3,6,6,4,0.15,3,6,0,0,0,0,0,1,35,8.6,11:15,45.8
601,Tom Kuhnhackl,20192020,NYI,L,R,28,3,3,6,-4,2,0.21,3,5,0,0,0,1,0,1,28,10.7,11:18,--
602,Filip Chlapik,20192020,OTT,L,C,31,3,3,6,-7,10,0.19,3,6,0,0,0,0,0,1,27,11.1,8:46,38.7
603,Yakov Trenin,20192020,NSH,L,C,21,2,4,6,1,9,0.29,2,6,0,0,0,0,0,0,25,8,9:44,75
604,Gabriel Bourque,20192020,WPG,L,L,52,2,4,6,-1,7,0.12,2,6,0,0,0,0,0,0,33,6.1,8:36,40
605,Scott Sabourin,20192020,OTT,R,R,35,2,4,6,-6,33,0.17,2,6,0,0,0,0,0,0,29,6.9,7:01,0
606,Matthew Highmore,20192020,CHI,L,C,36,2,4,6,-1,6,0.17,2,6,0,0,0,0,0,0,35,5.7,9:49,25
607,Chad Ruhwedel,20192020,PIT,R,D,41,2,4,6,4,12,0.15,2,6,0,0,0,0,0,0,44,4.6,14:46,--
608,Robert Bortuzzo,20192020,STL,R,D,42,2,4,6,12,21,0.14,2,6,0,0,0,0,0,1,36,5.6,13:07,--
609,Brett Ritchie,20192020,BOS,R,R,27,2,4,6,-3,21,0.22,2,5,0,1,0,0,0,1,34,5.9,10:24,40
610,Connor Carrick,20192020,NJD,R,D,29,1,5,6,-6,17,0.21,1,6,0,0,0,0,0,1,25,4,14:25,--
611,David Backes,20192020,BOS,R,R,22,1,5,6,-1,22,0.27,0,5,1,1,0,0,0,1,34,2.9,9:24,38
612,Adam Larsson,20192020,EDM,R,D,49,1,5,6,0,35,0.12,1,6,0,0,0,0,0,0,61,1.6,19:50,--
613,Oscar Fantenberg,20192020,VAN,L,D,36,1,5,6,-10,6,0.17,1,5,0,1,0,0,0,0,45,2.2,15:55,--
614,Karson Kuhlman,20192020,BOS,R,C,25,1,5,6,3,13,0.24,0,5,1,1,0,0,0,0,45,2.2,12:32,25
615,Deryk Engelland,20192020,VGK,R,D,49,1,5,6,6,37,0.12,1,5,0,0,0,1,0,1,59,1.7,17:33,--
616,Calvin de Haan,20192020,CHI,L,D,29,1,5,6,10,10,0.21,1,6,0,0,0,0,0,0,42,2.4,19:55,--
617,Zac Rinaldo,20192020,CGY,L,C,19,3,2,5,-1,34,0.26,3,5,0,0,0,0,0,2,19,15.8,8:16,--
618,Noah Gregor,20192020,SJS,L,C,28,3,2,5,-5,8,0.18,2,3,1,2,0,0,0,0,33,9.1,10:04,31.6
619,Logan Shaw,20192020,WPG,R,R,35,3,2,5,0,0,0.14,3,4,0,1,0,0,0,0,20,15,6:49,55
620,Jakob Lilja,20192020,CBJ,L,L,37,2,3,5,5,2,0.14,2,5,0,0,0,0,0,0,23,8.7,9:54,50
621,Adam Erne,20192020,DET,L,L,56,2,3,5,-24,28,0.09,2,5,0,0,0,0,0,0,63,3.2,11:49,60.6
622,Bryan Little,20192020,WPG,R,C,7,2,3,5,4,2,0.71,2,5,0,0,0,0,1,1,13,15.4,16:09,45.3
623,Joseph Blandisi,20192020,PIT,L,C,21,2,3,5,-3,10,0.24,2,5,0,0,0,0,0,1,12,16.7,8:12,40.7
624,Stephen Johns,20192020,DAL,R,D,17,2,3,5,0,10,0.29,2,5,0,0,0,0,0,0,30,6.7,17:40,--
625,Matt Luff,20192020,LAK,R,R,18,1,4,5,-5,2,0.28,1,5,0,0,0,0,0,0,25,4,10:22,0
626,Micheal Ferland,20192020,VAN,L,L,14,1,4,5,-3,7,0.36,1,5,0,0,0,0,0,0,15,6.7,9:48,100
627,Niklas Hjalmarsson,20192020,ARI,L,D,27,1,4,5,-2,14,0.19,1,4,0,0,0,1,0,0,18,5.6,18:46,--
628,Tim Heed,20192020,SJS,R,D,38,1,4,5,-10,2,0.13,1,4,0,1,0,0,0,0,44,2.3,13:00,0
629,Dean Kukan,20192020,CBJ,L,D,33,1,4,5,-9,12,0.15,0,4,1,1,0,0,0,0,51,2,15:58,--
630,Ville Heinola,20192020,WPG,L,D,8,1,4,5,3,4,0.63,1,4,0,1,0,0,0,0,10,10,18:04,--
631,Dale Weise,20192020,MTL,R,R,23,1,4,5,1,16,0.22,1,5,0,0,0,0,0,0,15,6.7,9:16,--
632,Jarred Tinordi,20192020,NSH,L,D,28,1,4,5,-1,34,0.18,1,4,0,0,0,1,0,0,20,5,16:37,--
633,Joakim Ryan,20192020,LAK,L,D,35,1,4,5,-10,10,0.14,1,5,0,0,0,0,0,0,54,1.9,19:09,--
634,Patrick Russell,20192020,EDM,R,R,45,0,5,5,-11,12,0.11,0,5,0,0,0,0,0,0,58,0,11:22,50
635,Sami Niku,20192020,WPG,L,D,17,0,5,5,-2,12,0.29,0,5,0,0,0,0,0,0,27,0,16:10,--
636,Riley Stillman,20192020,FLA,L,D,34,0,5,5,-3,14,0.15,0,5,0,0,0,0,0,0,39,0,19:07,--
637,Libor Hajek,20192020,NYR,L,D,28,0,5,5,-4,12,0.18,0,5,0,0,0,0,0,0,23,0,15:59,--
638,Jesper Boqvist,20192020,NJD,L,C,35,4,0,4,-11,8,0.11,3,3,1,1,0,0,0,0,41,9.8,10:57,31.3
639,Markus Granlund,20192020,EDM,L,C,34,3,1,4,-1,14,0.12,3,4,0,0,0,0,0,1,26,11.5,10:50,43.9
640,John Hayden,20192020,NJD,R,C,43,3,1,4,-2,77,0.09,3,4,0,0,0,0,0,1,39,7.7,9:43,21.1
641,Morgan Geekie,20192020,CAR,R,C,2,3,1,4,3,2,2,3,4,0,0,0,0,0,0,4,75,11:47,54.6
642,Brent Seabrook,20192020,CHI,R,D,32,3,1,4,1,8,0.13,2,3,1,1,0,0,0,1,40,7.5,18:09,--
643,Ross Johnston,20192020,NYI,L,L,32,3,1,4,1,78,0.13,3,4,0,0,0,0,0,0,16,18.8,7:59,100
644,Aleksi Saarela,20192020,FLA,L,C,9,2,2,4,2,0,0.44,2,3,0,1,0,0,0,0,15,13.3,12:15,35.3
645,Mikkel Boedker,20192020,OTT,L,L,20,2,2,4,-1,0,0.2,1,3,0,0,1,1,0,0,29,6.9,9:43,25
646,Christoffer Ehn,20192020,DET,L,C,54,2,2,4,-21,2,0.07,2,4,0,0,0,0,0,0,36,5.6,10:25,42.5
647,Brendan Perlini,20192020,CHI,L,L,40,1,3,4,-18,10,0.1,1,4,0,0,0,0,0,0,48,2.1,10:42,--
648,Josh Mahura,20192020,ANA,L,D,11,1,3,4,-3,2,0.36,1,4,0,0,0,0,0,0,11,9.1,16:14,--
649,Dakota Mermis,20192020,NJD,L,D,10,1,3,4,7,4,0.4,1,4,0,0,0,0,0,0,17,5.9,19:13,--
650,Phillip Di Giuseppe,20192020,NYR,L,L,20,1,3,4,1,2,0.2,1,4,0,0,0,0,0,0,35,2.9,11:17,0
651,Korbinian Holzer,20192020,ANA,R,D,49,1,3,4,-2,37,0.08,1,3,0,0,0,1,0,0,39,2.6,16:02,--
652,Martin Marincin,20192020,TOR,L,D,26,1,3,4,-1,14,0.15,1,4,0,0,0,0,0,1,28,3.6,15:12,--
653,Cameron Gaunce,20192020,TBL,L,D,3,1,3,4,2,4,1.33,1,4,0,0,0,0,0,0,5,20,11:52,--
654,Josh Anderson,20192020,CBJ,R,R,26,1,3,4,-8,17,0.15,1,4,0,0,0,0,0,0,63,1.6,16:04,36.8
655,Braydon Coburn,20192020,TBL,L,D,40,1,3,4,5,16,0.1,1,4,0,0,0,0,0,0,44,2.3,14:03,--
656,Barrett Hayton,20192020,ARI,L,C,20,1,3,4,2,14,0.2,1,4,0,0,0,0,0,1,27,3.7,11:09,37.7
657,Valentin Zykov,20192020,VGK,R,L,15,1,3,4,-2,6,0.27,0,3,1,1,0,0,0,0,19,5.3,12:13,0
658,Colin Wilson,20192020,COL,L,C,9,0,4,4,6,0,0.44,0,4,0,0,0,0,0,0,12,0,12:38,42.9
659,Dryden Hunt,20192020,FLA,L,L,21,0,4,4,0,24,0.19,0,4,0,0,0,0,0,0,33,0,10:30,--
660,Carl Grundstrom,20192020,LAK,L,R,13,0,4,4,2,8,0.31,0,4,0,0,0,0,0,0,16,0,12:46,--
661,Danny DeKeyser,20192020,DET,L,D,8,0,4,4,0,4,0.5,0,4,0,0,0,0,0,0,12,0,22:04,--
662,Erik Brannstrom,20192020,OTT,L,D,31,0,4,4,-9,16,0.13,0,3,0,1,0,0,0,0,38,0,14:51,--
663,Roman Polak,20192020,DAL,R,D,41,0,4,4,-6,24,0.1,0,4,0,0,0,0,0,0,34,0,16:40,--
664,Ilya Lyubushkin,20192020,ARI,R,D,51,0,4,4,4,18,0.08,0,4,0,0,0,0,0,0,41,0,14:11,--
665,Alexander True,20192020,SJS,L,C,12,0,4,4,1,2,0.33,0,4,0,0,0,0,0,0,12,0,10:00,46.4
666,Isac Lundestrom,20192020,ANA,L,C,15,0,4,4,-2,0,0.27,0,3,0,1,0,0,0,0,10,0,13:55,46.8
667,Givani Smith,20192020,DET,L,R,21,2,1,3,-2,9,0.14,2,3,0,0,0,0,0,0,22,9.1,9:41,--
668,Austin Czarnik,20192020,CGY,R,C,8,2,1,3,1,0,0.38,1,2,1,1,0,0,0,0,9,22.2,10:11,33.3
669,Jake Evans,20192020,MTL,R,C,13,2,1,3,1,0,0.23,2,3,0,0,0,0,0,0,14,14.3,10:21,51.8
670,Martin Kaut,20192020,COL,R,R,9,2,1,3,-1,2,0.33,1,2,1,1,0,0,0,0,13,15.4,10:08,100
671,Kieffer Bellows,20192020,NYI,L,L,8,2,1,3,3,2,0.38,2,3,0,0,0,0,0,1,11,18.2,10:39,--
672,Stefan Matteau,20192020,CBJ,L,C,9,2,1,3,0,5,0.33,2,3,0,0,0,0,0,0,18,11.1,12:22,--
673,John Moore,20192020,BOS,L,D,24,2,1,3,-2,11,0.13,2,3,0,0,0,0,0,0,33,6.1,16:33,--
674,Rudolfs Balcers,20192020,OTT,L,L,15,1,2,3,-2,0,0.2,1,3,0,0,0,0,0,1,23,4.4,12:08,0
675,Dennis Gilbert,20192020,CHI,L,D,21,1,2,3,-8,38,0.14,1,3,0,0,0,0,0,0,12,8.3,15:42,--
676,Luke Witkowski,20192020,TBL,R,R,12,1,2,3,-4,13,0.25,1,3,0,0,0,0,0,0,10,10,8:48,--
677,Mikhail Vorobyev,20192020,PHI,L,C,20,1,2,3,-5,6,0.15,1,3,0,0,0,0,0,0,15,6.7,10:26,55.7
678,Dylan Sikura,20192020,CHI,L,R,9,1,2,3,1,0,0.33,1,3,0,0,0,0,0,0,10,10,9:54,0
679,Andrew Agozzino,20192020,PIT,L,L,22,1,2,3,3,4,0.14,1,3,0,0,0,0,0,0,10,10,7:21,50.7
680,Rasmus Asplund,20192020,BUF,L,C,29,1,2,3,-4,6,0.1,1,2,0,0,0,1,0,0,36,2.8,10:50,43
681,Vladimir Sobotka,20192020,BUF,L,C,16,1,2,3,2,4,0.19,1,3,0,0,0,0,0,0,23,4.4,14:16,55.7
