,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
131,Nick Suzuki,20192020,MTL,R,C,71,13,28,41,-15,6,0.58,7,27,6,14,0,0,0,1,138,9.4,15:59,46.3
132,Aaron Ekblad,20192020,FLA,R,D,67,5,36,41,12,26,0.61,5,34,0,6,0,1,1,1,147,3.4,22:59,--
133,Anthony Duclair,20192020,OTT,L,L,66,23,17,40,-5,18,0.61,16,30,5,8,2,2,2,2,184,12.5,16:16,50
134,James van Riemsdyk,20192020,PHI,L,L,66,19,21,40,5,8,0.61,15,31,4,9,0,0,0,2,151,12.6,14:54,34.8
135,Jordan Eberle,20192020,NYI,R,R,58,16,24,40,1,12,0.69,12,29,4,11,0,0,0,1,136,11.8,17:49,33.3
136,Dougie Hamilton,20192020,CAR,R,D,47,14,26,40,30,32,0.85,12,27,2,12,0,1,2,3,170,8.2,23:17,--
137,Jeff Petry,20192020,MTL,R,D,71,11,29,40,-10,26,0.56,7,27,3,12,1,1,2,3,158,7,23:39,--
138,Erik Karlsson,20192020,SJS,R,D,56,6,34,40,-15,16,0.71,4,26,1,13,1,1,0,0,120,5,24:31:00,--
139,Rasmus Dahlin,20192020,BUF,L,D,59,4,36,40,-7,38,0.68,2,21,2,19,0,0,0,1,90,4.4,19:18,--
140,Conor Garland,20192020,ARI,R,R,68,22,17,39,1,20,0.57,18,29,4,10,0,0,0,5,158,13.9,14:09,36.4
141,Jakob Silfverberg,20192020,ANA,R,R,66,21,18,39,0,14,0.59,15,30,4,7,2,2,0,1,155,13.6,17:41,19.5
142,Jamie Benn,20192020,DAL,L,L,69,19,20,39,-4,53,0.57,11,25,8,14,0,0,2,4,163,11.7,16:26,55.8
143,Anthony Beauvillier,20192020,NYI,L,L,68,18,21,39,-11,15,0.57,14,31,3,7,1,1,2,3,132,13.6,17:16,69.2
144,Lars Eller,20192020,WSH,L,C,69,16,23,39,3,48,0.57,13,31,2,6,1,2,1,1,151,10.6,17:01,51.9
145,Logan Couture,20192020,SJS,L,C,52,16,23,39,0,18,0.75,16,28,0,9,0,2,3,3,126,12.7,18:32,44
146,Thomas Chabot,20192020,OTT,L,D,71,6,33,39,-18,42,0.55,6,28,0,11,0,0,0,0,186,3.2,26:00:00,--
147,Tyson Barrie,20192020,TOR,R,D,70,5,34,39,-7,16,0.56,4,27,1,12,0,0,0,0,169,3,21:53,--
148,Christian Dvorak,20192020,ARI,L,C,70,18,20,38,6,12,0.54,12,28,6,10,0,0,1,2,134,13.4,16:42,55.1
149,Paul Stastny,20192020,VGK,L,C,71,17,21,38,6,24,0.54,12,27,5,10,0,1,1,3,136,12.5,17:08,54.8
150,Anthony Mantha,20192020,DET,L,R,43,16,22,38,-7,34,0.88,10,29,6,9,0,0,0,3,137,11.7,18:54,42.1
151,Phil Kessel,20192020,ARI,R,R,70,14,24,38,-21,22,0.54,5,21,9,17,0,0,0,2,153,9.2,17:09,22.2
152,Dylan Strome,20192020,CHI,L,C,58,12,26,38,1,16,0.66,10,30,2,8,0,0,0,2,97,12.4,15:56,47.7
153,Vincent Trocheck,20192020,FLA,R,C,62,11,27,38,-8,49,0.61,9,30,1,7,1,1,1,2,141,7.8,16:44,52.2
154,Ryan Ellis,20192020,NSH,R,D,49,8,30,38,16,19,0.78,6,29,2,9,0,0,2,3,114,7,23:30,--
155,Zach Hyman,20192020,TOR,R,L,51,21,16,37,13,23,0.73,17,30,3,6,1,1,0,1,106,19.8,19:06,43.8
156,Charlie Coyle,20192020,BOS,R,C,70,16,21,37,9,21,0.53,13,30,1,5,2,2,0,3,145,11,16:47,46.6
157,Tyler Ennis,20192020,OTT,L,C,70,16,21,37,-6,20,0.53,11,27,5,10,0,0,0,1,159,10.1,14:43,46.7
158,Mats Zuccarello,20192020,MIN,L,R,65,15,22,37,-9,18,0.57,12,30,3,7,0,0,0,2,96,15.6,15:56,64.3
159,Chris Tierney,20192020,OTT,L,C,71,11,26,37,-6,20,0.52,6,30,1,2,4,5,1,2,102,10.8,17:11,51.2
160,Oliver Bjorkstrand,20192020,CBJ,R,R,49,21,15,36,8,12,0.73,18,30,3,6,0,0,0,5,162,13,17:56,31.6
161,Nazem Kadri,20192020,COL,L,C,51,19,17,36,7,97,0.71,15,25,4,11,0,0,0,1,133,14.3,17:26,56.8
162,Jake Virtanen,20192020,VAN,R,R,69,18,18,36,-4,41,0.52,12,27,6,9,0,0,0,6,150,12,13:05,27.8
163,Martin Necas,20192020,CAR,R,C,64,16,20,36,-6,20,0.56,11,27,5,9,0,0,0,3,88,18.2,14:10,27.1
164,Tomas Hertl,20192020,SJS,L,C,48,16,20,36,-18,16,0.75,12,27,2,7,2,2,0,1,117,13.7,18:27,54.8
165,Shea Weber,20192020,MTL,R,D,65,15,21,36,8,33,0.55,12,28,3,8,0,0,0,2,185,8.1,24:00:00,--
166,Ryan Johansen,20192020,NSH,R,C,68,14,22,36,-5,45,0.53,10,26,3,9,1,1,0,2,101,13.9,17:03,53.2
167,Nico Hischier,20192020,NJD,L,C,58,14,22,36,-16,12,0.62,11,24,2,10,1,2,0,1,123,11.4,18:04,51.7
168,Kasperi Kapanen,20192020,TOR,R,R,69,13,23,36,0,22,0.52,11,31,0,3,2,2,1,2,121,10.7,15:47,13.3
169,Ivan Provorov,20192020,PHI,L,D,69,13,23,36,11,24,0.52,6,19,7,16,0,1,1,3,150,8.7,24:51:00,--
170,Jaccob Slavin,20192020,CAR,L,D,68,6,30,36,30,10,0.53,6,32,0,3,0,1,1,3,145,4.1,23:24,--
171,Jake DeBrusk,20192020,BOS,L,L,65,19,16,35,-1,14,0.54,12,25,7,10,0,0,0,5,161,11.8,16:03,34.6
172,Nick Bonino,20192020,NSH,L,C,67,18,17,35,17,16,0.52,17,34,1,1,0,0,0,3,104,17.3,16:31,52.6
173,Carl Soderberg,20192020,ARI,L,C,70,17,18,35,6,18,0.5,11,24,6,11,0,0,0,1,135,12.6,15:54,45.3
174,Dustin Brown,20192020,LAK,R,R,66,17,18,35,-1,22,0.53,16,30,1,5,0,0,0,1,169,10.1,18:24,43.8
175,Jared McCann,20192020,PIT,L,C,66,14,21,35,6,17,0.53,12,29,2,6,0,0,1,4,150,9.3,15:14,46.4
176,Ryan Pulock,20192020,NYI,R,D,68,10,25,35,8,14,0.51,7,27,3,8,0,0,1,3,163,6.1,22:24,--
177,Miro Heiskanen,20192020,DAL,L,D,68,8,27,35,14,12,0.51,8,28,0,7,0,0,0,0,163,4.9,23:46,--
178,Drew Doughty,20192020,LAK,R,D,67,7,28,35,-16,36,0.52,2,20,5,14,0,1,2,2,141,5,25:49:00,--
179,Frank Vatrano,20192020,FLA,L,C,69,16,18,34,-8,30,0.49,12,30,2,2,2,2,0,4,162,9.9,15:01,30
180,Calle Jarnkrok,20192020,NSH,R,C,64,15,19,34,4,14,0.53,11,23,2,9,2,2,0,1,136,11,15:56,47.1
181,Zack Kassian,20192020,EDM,R,R,59,15,19,34,0,69,0.58,15,34,0,0,0,0,0,1,99,15.2,15:40,33.3
182,Alexander Radulov,20192020,DAL,L,R,60,15,19,34,8,46,0.57,8,24,7,10,0,0,0,3,132,11.4,16:45,28.6
183,Mikhail Sergachev,20192020,TBL,L,D,70,10,24,34,15,58,0.49,4,20,5,13,1,1,0,0,118,8.5,20:22,--
184,Kevin Shattenkirk,20192020,TBL,R,D,70,8,26,34,22,38,0.49,7,27,1,7,0,0,0,0,131,6.1,18:54,--
185,Oscar Klefbom,20192020,EDM,L,D,62,5,29,34,-17,24,0.55,3,16,2,18,0,0,0,0,159,3.1,25:25:00,--
186,Samuel Girard,20192020,COL,L,D,70,4,30,34,1,17,0.49,3,21,1,13,0,0,0,1,96,4.2,21:19,--
187,Brandon Saad,20192020,CHI,L,L,58,21,12,33,2,16,0.57,18,30,1,1,2,2,0,5,140,15,16:45,39.7
188,Brett Connolly,20192020,FLA,R,R,69,19,14,33,-3,26,0.48,15,27,4,6,0,0,0,3,117,16.2,14:30,35.3
189,Roope Hintz,20192020,DAL,L,L,60,19,14,33,3,16,0.55,14,17,3,14,2,2,1,5,120,15.8,14:45,49.9
190,Joonas Donskoi,20192020,COL,R,R,65,16,17,33,2,26,0.51,12,28,4,5,0,0,0,2,111,14.4,16:15,42.9
191,Kevin Labanc,20192020,SJS,R,R,70,14,19,33,-33,38,0.47,11,24,3,9,0,0,0,3,176,8,16:04,16.7
192,Adam Gaudette,20192020,VAN,R,C,59,12,21,33,-7,37,0.56,8,21,4,12,0,0,0,1,75,16,12:23,41.2
193,Mattias Ekholm,20192020,NSH,L,D,68,8,25,33,-1,32,0.49,7,26,0,5,1,2,0,2,154,5.2,23:22,--
194,Matt Niskanen,20192020,PHI,R,D,68,8,25,33,15,29,0.49,3,19,4,13,1,1,0,0,126,6.4,21:54,--
195,Rasmus Ristolainen,20192020,BUF,R,D,69,6,27,33,-2,46,0.48,4,23,2,9,0,1,0,0,128,4.7,22:48,--
196,Alexander Edler,20192020,VAN,L,D,59,5,28,33,13,62,0.56,4,26,1,7,0,0,0,1,118,4.2,22:37,--
197,Darnell Nurse,20192020,EDM,L,D,71,5,28,33,-2,48,0.46,5,28,0,5,0,0,0,1,170,2.9,23:27,--
198,Blake Coleman,20192020,NJD,L,C,66,21,11,32,0,56,0.48,17,25,1,3,3,4,0,2,200,10.5,16:43,31.5
199,Patric Hornqvist,20192020,PIT,R,R,52,17,15,32,9,36,0.62,14,25,3,7,0,0,0,2,168,10.1,15:56,33.3
200,Andrew Mangiapane,20192020,CGY,L,L,68,17,15,32,4,18,0.47,17,31,0,1,0,0,0,2,109,15.6,13:42,27.9
201,Jesper Bratt,20192020,NJD,L,L,60,16,16,32,-6,6,0.53,15,26,1,6,0,0,0,2,101,15.8,13:59,23.1
202,Robby Fabbri,20192020,STL,L,C,61,15,17,32,-33,20,0.52,9,23,6,9,0,0,0,3,111,13.5,16:09,40.3
203,Jared Spurgeon,20192020,MIN,R,D,62,12,20,32,-1,18,0.52,9,19,3,13,0,0,0,2,112,10.7,22:34,0
204,Adrian Kempe,20192020,LAK,L,C,69,11,21,32,-10,29,0.46,7,18,2,10,2,4,1,2,148,7.4,16:01,41.3
205,Derick Brassard,20192020,NYI,L,C,66,10,22,32,-2,16,0.48,7,22,3,10,0,0,0,1,110,9.1,13:42,55.2
206,Pavel Zacha,20192020,NJD,L,C,65,8,24,32,-12,14,0.49,3,20,3,8,2,4,0,1,97,8.3,16:16,43.3
207,John Klingberg,20192020,DAL,R,D,58,6,26,32,-10,22,0.55,4,15,2,17,0,0,0,0,120,5,22:10,--
208,Charlie McAvoy,20192020,BOS,R,D,67,5,27,32,24,41,0.48,4,29,1,2,0,1,1,1,101,5,23:10,--
209,Alex Goligoski,20192020,ARI,L,D,70,4,28,32,8,24,0.46,2,21,2,11,0,0,0,0,101,4,23:03,--
210,James Neal,20192020,EDM,L,L,55,19,12,31,-20,12,0.56,7,14,12,17,0,0,0,2,112,17,16:18,35.5
211,Craig Smith,20192020,NSH,R,R,69,18,13,31,18,34,0.45,14,24,4,7,0,0,0,2,184,9.8,13:25,48.3
212,Vladislav Namestnikov,20192020,NYR,L,C,65,17,14,31,-5,45,0.48,11,21,2,4,4,6,0,2,98,17.4,15:03,46.8
213,Luke Kunin,20192020,MIN,R,C,63,15,16,31,-10,55,0.49,14,28,0,2,1,1,0,1,128,11.7,15:28,44.5
214,Joe Pavelski,20192020,DAL,R,C,67,14,17,31,6,29,0.46,8,19,6,11,0,1,2,3,125,11.2,16:56,53.8
215,Tyler Johnson,20192020,TBL,R,C,65,14,17,31,9,16,0.48,13,24,1,7,0,0,1,2,113,12.4,14:33,49
216,Dominik Kahun,20192020,PIT,L,C,56,12,19,31,8,8,0.55,11,29,1,2,0,0,0,2,87,13.8,13:17,48.3
217,J.T. Compher,20192020,COL,R,C,67,11,20,31,9,18,0.46,10,23,1,5,0,3,1,3,106,10.4,16:45,47.7
218,Rocco Grimaldi,20192020,NSH,R,R,66,10,21,31,10,10,0.47,10,31,0,0,0,0,0,1,122,8.2,12:39,16.7
219,Nick Foligno,20192020,CBJ,L,L,67,10,21,31,-3,62,0.46,8,26,2,4,0,1,0,1,131,7.6,18:40,49.8
220,Kyle Turris,20192020,NSH,R,C,62,9,22,31,-9,22,0.5,7,21,2,10,0,0,0,4,88,10.2,15:25,47.5
221,Filip Hronek,20192020,DET,R,D,65,9,22,31,-38,46,0.48,8,21,1,10,0,0,0,0,125,7.2,23:54,--
222,Damon Severson,20192020,NJD,R,D,69,8,23,31,-20,52,0.45,5,21,3,10,0,0,0,2,114,7,22:58,--
